#xind    lon    lat 
   1      0     90 
   2    -36 87.3569 
   3    -36 84.7138 
   4    -36 82.0706 
   5    -36 79.4275 
   6    -36 76.7844 
   7    -36 74.1413 
   8    -36 71.4981 
   9    -36 68.855 
  10    -36 66.2119 
  11    -36 63.5688 
  12    -36 60.9256 
  13    -36 58.2825 
  14    -36 55.6394 
  15    -36 52.9963 
  16    -36 50.3532 
  17    -36  47.71 
  18    -36 45.0669 
  19    -36 42.4238 
  20    -36 39.7807 
  21    -36 37.1375 
  22    -36 34.4944 
  23    -36 31.8513 
  24    -36 29.2082 
  25    -36 26.5651 
  26     36 87.3569 
  27      0 85.7191 
  28  -13.6 83.3805 
  29 -19.9108 80.8761 
  30 -23.4796 78.2563 
  31 -25.7348 75.6595 
  32 -27.29 73.0366 
  33 -28.4236 70.4148 
  34 -29.1361 67.4464 
  35 -29.816 64.8148 
  36 -30.3645 62.169 
  37 -30.8124 59.5321 
  38 -31.1922 56.8378 
  39 -31.5051 54.1979 
  40 -31.7728 51.5457 
  41 -32.0012 48.9039 
  42 -32.3565 45.9342 
  43 -32.52 43.2911 
  44 -32.6655 40.6373 
  45 -32.7904 37.9933 
  46 -32.9135 35.298 
  47 -33.0093 32.6535 
  48 -33.096 29.9987 
  49 -33.1696 27.3538 
  50 -34.2942 24.4166 
  51     36 84.7138 
  52   13.6 83.3805 
  53      0 81.4131 
  54 -8.2438 79.1013 
  55 -13.5625 76.6466 
  56 -17.137 74.1496 
  57 -19.7529 71.6098 
  58 -21.6471 68.7034 
  59 -23.1037 65.7807 
  60 -24.2802 63.1752 
  61 -25.2622 60.5615 
  62 -26.0676 57.8943 
  63 -26.7616 55.2226 
  64 -27.3221 52.589 
  65 -27.819 49.953 
  66 -28.4135 47.0029 
  67 -28.9457  44.05 
  68 -29.2389 41.4053 
  69 -29.5091 38.7599 
  70 -29.7458 36.072 
  71 -29.9669 33.3836 
  72 -30.1381 30.7342 
  73 -30.3002 28.0847 
  74 -31.501 25.1718 
  75 -32.6457 22.2497 
  76     36 82.0706 
  77 19.9108 80.8761 
  78 8.2438 79.1013 
  79      0 77.0061 
  80 -5.91076 74.7365 
  81 -10.1503 72.3656 
  82 -13.3664 69.5887 
  83 -15.86 66.7566 
  84 -17.8455 63.9072 
  85 -19.392 61.3469 
  86 -20.6441 58.7301 
  87 -21.735 56.0929 
  88 -22.6917 53.4597 
  89 -23.4648 50.8454 
  90  -24.3 47.9284 
  91 -25.0594 44.9952 
  92 -25.7504 42.0706 
  93 -26.1609 39.4329 
  94 -26.5048 36.7599 
  95 -26.8357 34.0762 
  96 -27.1494 31.4026 
  97 -27.3931 28.7551 
  98 -28.6613 25.8695 
  99 -29.8786 22.9674 
 100 -31.0477 20.0667 
 101     36 79.4275 
 102 23.4796 78.2563 
 103 13.5625 76.6466 
 104 5.91076 74.7365 
 105      0 72.6249 
 106 -4.57902 70.0462 
 107 -8.13223 67.3763 
 108 -10.9631 64.644 
 109 -13.2723 61.8675 
 110 -15.0105 59.3189 
 111 -16.5053 56.7504 
 112 -17.8081 54.1663 
 113 -18.9573 51.5698 
 114 -20.0648 48.6919 
 115 -21.0523 45.8045 
 116 -21.9423 42.9094 
 117 -22.7522 40.008 
 118 -23.2201 37.349 
 119 -23.6559 34.6882 
 120 -24.0646 32.026 
 121 -24.4501 29.3625 
 122 -25.7994 26.5056 
 123 -27.0829 23.6365 
 124 -28.3113 20.7573 
 125 -29.4937 17.8698 
 126     36 76.7844 
 127 25.7348 75.6595 
 128 17.137 74.1496 
 129 10.1503 72.3656 
 130 4.57902 70.0462 
 131      0 67.5812 
 132 -3.69577 64.9968 
 133 -6.70673 62.3462 
 134 -9.28711 59.6953 
 135 -11.2001 57.198 
 136 -12.8666 54.663 
 137 -14.322 52.1164 
 138 -15.6186 49.3034 
 139 -16.8602 46.4552 
 140 -17.9739 43.5809 
 141 -18.9718 40.7073 
 142 -19.9329 37.8728 
 143 -20.4847 35.2231 
 144 -20.9992 32.5604 
 145 -21.4738 29.9046 
 146 -22.8471 27.0801 
 147 -24.2086 24.2356 
 148 -25.5078 21.3686 
 149 -26.747 18.4981 
 150 -27.9777 15.6608 
 151     36 74.1413 
 152  27.29 73.0366 
 153 19.7529 71.6098 
 154 13.3664 69.5887 
 155 8.13223 67.3763 
 156 3.69577 64.9968 
 157      0 62.5076 
 158 -3.12229 59.994 
 159 -5.79845 57.4173 
 160 -7.81164 54.962 
 161 -9.59152 52.4773 
 162 -11.1704 49.7229 
 163 -12.5791 46.9493 
 164 -13.9097 44.122 
 165 -15.1185 41.2807 
 166 -16.2386 38.4824 
 167 -17.2748 35.6742 
 168 -17.8888 33.0281 
 169 -18.467 30.3792 
 170 -19.924 27.587 
 171 -21.3083 24.7803 
 172 -22.6713 21.9388 
 173 -23.9808 19.0865 
 174 -25.2556 16.2678 
 175 -26.4943 13.4416 
 176     36 71.4981 
 177 28.4236 70.4148 
 178 21.6471 68.7034 
 179  15.86 66.7566 
 180 10.9631 64.644 
 181 6.70673 62.3462 
 182 3.12229 59.994 
 183      0 57.5505 
 184 -2.72561 55.0543 
 185 -4.80372 52.6469 
 186 -6.64106 49.9643 
 187 -8.30072 47.2469 
 188 -9.79945 44.5217 
 189 -11.2047 41.7236 
 190 -12.4707 38.9696 
 191 -13.6551 36.1935 
 192 -14.7609 33.4203 
 193 -15.433 30.7843 
 194 -16.9625 28.0267 
 195 -18.426 25.2476 
 196 -19.8258 22.4653 
 197 -21.1956 19.6334 
 198 -22.5052 16.8347 
 199 -23.786 14.0223 
 200 -25.0381 11.2139 
 201     36 68.855 
 202 29.1361 67.4464 
 203 23.1037 65.7807 
 204 17.8455 63.9072 
 205 13.2723 61.8675 
 206 9.28711 59.6953 
 207 5.79845 57.4173 
 208 2.72561 55.0543 
 209      0 52.6226 
 210 -2.10234 50.0203 
 211 -3.98718 47.3839 
 212 -5.69147 44.7195 
 213 -7.245 42.032 
 214 -8.67198 39.3253 
 215 -9.99226 36.6025 
 216 -11.2222 33.8661 
 217 -12.3756 31.1183 
 218 -13.9897 28.3974 
 219 -15.5227 25.6585 
 220 -16.9866 22.9043 
 221 -18.3921 20.1372 
 222 -19.7485 17.3594 
 223 -21.0643 14.5726 
 224 -22.3473 11.7788 
 225 -23.6043 8.97926 
 226     36 66.2119 
 227 29.816 64.8148 
 228 24.2802 63.1752 
 229 19.392 61.3469 
 230 15.0105 59.3189 
 231 11.2001 57.198 
 232 7.81164 54.962 
 233 4.80372 52.6469 
 234 2.10234 50.0203 
 235      0 47.453 
 236 -1.90491 44.8395 
 237 -3.62905 42.2033 
 238 -5.23994 39.4968 
 239 -6.69165 36.8118 
 240 -8.04363 34.0992 
 241 -9.29899 31.3795 
 242 -10.6099 28.6377 
 243 -12.2311 25.9342 
 244 -13.7779 23.1996 
 245 -15.2502 20.458 
 246 -16.6908 17.6481 
 247 -18.0542 14.8784 
 248 -19.3815 12.0872 
 249 -20.6696 9.29754 
 250 -22.1881 6.73914 
 251     36 63.5688 
 252 30.3645 62.169 
 253 25.2622 60.5615 
 254 20.6441 58.7301 
 255 16.5053 56.7504 
 256 12.8666 54.663 
 257 9.59152 52.4773 
 258 6.64106 49.9643 
 259 3.98718 47.3839 
 260 1.90491 44.8395 
 261      0 42.2605 
 262 -1.7535 39.6072 
 263 -3.37692 36.9295 
 264 -4.83742 34.2564 
 265 -6.20764 31.567 
 266 -7.6024 28.8579 
 267 -8.92611 26.1352 
 268 -10.5437 23.4367 
 269 -12.0964 20.7222 
 270 -13.5894 17.939 
 271 -15.036 15.1448 
 272 -16.3972 12.3716 
 273 -17.7297 9.59181 
 274 -19.2657 7.04588 
 275 -20.7849 4.49498 
 276     36 60.9256 
 277 30.8124 59.5321 
 278 26.0676 57.8943 
 279 21.735 56.0929 
 280 17.8081 54.1663 
 281 14.322 52.1164 
 282 11.1704 49.7229 
 283 8.30072 47.2469 
 284 5.69147 44.7195 
 285 3.62905 42.2033 
 286 1.7535 39.6072 
 287      0 36.9774 
